,HAPPY TEETH INVENTORY,,,,,,,,,,https://www.smartsheet.com/try-it?trp=11332&utm_source=integrated+content&utm_campaign=/content/monthly-budget-template-google-sheets&utm_medium=Simple+Budget+google+sheets+11332&lpa=Simple+Budget+google+sheets+11332&lx=PFpZZjisDNTS-Ddigi3MyABAgeTPLDIL8TQRu558b7w,,,,
,,,,,,,,,,,,,,,
,,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEPT,OCT,NOV,DEC,,CURRENT YEAR BUDGET
,TOTAL INCOME,"₱1,376,860.00","₱1,194,325.00","₱1,359,160.00","₱798,550.00","₱836,600.00","₱889,450.00","₱847,445.00","₱870,640.00","₱1,197,005.00","₱953,545.00","₱1,020,350.00",₱0.00,,"₱11,343,930.00"
,TOTAL EXPENSES,"₱416,830.60","₱473,500.56","₱476,211.79","₱358,615.63","₱395,344.72","₱326,353.11","₱374,258.62","₱301,146.35","₱439,867.91","₱390,702.81","₱310,898.25",₱0.00,,"₱4,263,730.35"
,NET INCOME,"₱960,029.40","₱720,824.44","₱882,948.21","₱439,934.37","₱441,255.28","₱563,096.89","₱473,186.38","₱569,493.65","₱757,137.09","₱562,842.19","₱709,451.75",₱0.00,,"₱7,080,199.65"
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,INCOME,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEPT,OCT,NOV,DEC,,YEAR END TOTAL
,INCOME SOURCE DATE,,,,,,,,,,,,,,
,1,-,"₱23,600.00","₱59,600.00","₱23,100.00","₱33,750.00","₱16,500.00","₱5,270.00","₱19,800.00","₱38,300.00",-,-,,,"₱219,920.00"
,2,-,"₱61,400.00","₱112,500.00","₱23,500.00","₱45,500.00","₱38,700.00","₱21,400.00","₱28,000.00","₱20,400.00","₱55,700.00","₱6,200.00",,,"₱413,300.00"
,3,"₱44,400.00","₱26,850.00","₱116,400.00","₱21,100.00","₱17,400.00","₱15,800.00",-,"₱48,000.00","₱32,500.00","₱19,900.00","₱27,500.00",,,"₱369,850.00"
,4,"₱43,725.00","₱12,000.00","₱39,500.00","₱28,250.00","₱70,100.00","₱22,100.00","₱4,700.00","₱68,070.00","₱16,825.00","₱50,000.00","₱18,200.00",,,"₱373,470.00"
,5,"₱34,800.00","₱31,900.00","₱16,200.00","₱60,150.00","₱28,350.00",-,"₱22,000.00","₱4,600.00","₱15,600.00","₱72,800.00","₱8,600.00",,,"₱295,000.00"
,6,"₱50,400.00","₱26,500.00",-,"₱21,400.00","₱38,650.00","₱73,100.00","₱55,550.00",-,"₱48,400.00",-,"₱19,900.00",,,"₱333,900.00"
,7,"₱13,950.00","₱30,200.00","₱99,400.00","₱49,350.00","₱2,400.00","₱22,100.00","₱67,300.00","₱15,500.00","₱50,180.00",-,"₱41,000.00",,,"₱391,380.00"
,8,"₱69,040.00","₱57,100.00","₱30,000.00","₱5,600.00","₱48,100.00","₱56,800.00","₱6,500.00","₱76,600.00","₱57,800.00",-,"₱46,500.00",,,"₱454,040.00"
,9,"₱35,825.00","₱45,200.00","₱40,000.00","₱77,500.00","₱22,900.00","₱45,050.00","₱3,100.00","₱71,900.00","₱33,500.00","₱41,700.00","₱68,300.00",,,"₱484,975.00"
,10,-,"₱46,300.00","₱63,100.00","₱16,000.00","₱38,400.00","₱12,200.00","₱20,250.00",-,-,"₱49,225.00",-,,,"₱245,475.00"
,11,"₱99,520.00","₱100,350.00","₱27,760.00","₱7,500.00",-,"₱41,400.00","₱133,850.00","₱12,750.00","₱68,300.00","₱74,300.00","₱36,000.00",,,"₱601,730.00"
,12,"₱52,700.00","₱50,000.00","₱14,200.00","₱54,500.00",-,-,-,"₱20,500.00","₱64,500.00","₱38,000.00","₱6,900.00",,,"₱301,300.00"
,13,"₱42,300.00",-,-,"₱20,625.00","₱9,700.00","₱35,000.00",-,-,"₱67,500.00","₱80,050.00","₱57,200.00",,,"₱312,375.00"
